city,year,weekofyear,total_cases
1,1990,18,8
1,1990,19,14
1,1990,20,12
1,1990,21,12
1,1990,22,81
1,1990,23,21
1,1990,24,16
1,1990,25,18
1,1990,26,26
1,1990,27,37
1,1990,28,15
1,1990,29,12
1,1990,30,19
1,1990,31,26
1,1990,32,28
1,1990,33,41
1,1990,34,24
1,1990,35,32
1,1990,36,31
1,1990,37,33
1,1990,38,48
1,1990,39,27
1,1990,40,47
1,1990,41,39
1,1990,42,41
1,1990,43,36
1,1990,44,50
1,1990,45,56
1,1990,46,44
1,1990,47,43
1,1990,48,63
1,1990,49,51
1,1990,50,36
1,1990,51,27
1,1990,52,27
1,1991,1,21
1,1991,2,21
1,1991,3,25
1,1991,4,30
1,1991,5,31
1,1991,6,19
1,1991,7,17
1,1991,8,23
1,1991,9,22
1,1991,10,22
1,1991,11,15
1,1991,12,20
1,1991,13,16
1,1991,14,19
1,1991,15,18
1,1991,16,22
1,1991,17,20
1,1991,18,20
1,1991,19,20
1,1991,20,18
1,1991,21,31
1,1991,22,21
1,1991,23,16
1,1991,24,32
1,1991,25,18
1,1991,26,22
1,1991,27,31
1,1991,28,22
1,1991,29,21
1,1991,30,24
1,1991,31,31
1,1991,32,50
1,1991,33,47
1,1991,34,60
1,1991,35,53
1,1991,36,54
1,1991,37,57
1,1991,38,67
1,1991,39,70
1,1991,40,98
1,1991,41,78
1,1991,42,108
1,1991,43,92
1,1991,44,102
1,1991,45,96
1,1991,46,95
1,1991,47,91
1,1991,48,120
1,1991,49,105
1,1991,50,81
1,1991,51,56
1,1991,52,50
1,1992,1,56
1,1992,2,75
1,1992,3,79
1,1992,4,62
1,1992,5,42
1,1992,6,39
1,1992,7,66
1,1992,8,30
1,1992,9,32
1,1992,10,48
1,1992,11,34
1,1992,12,30
1,1992,13,26
1,1992,14,26
1,1992,15,28
1,1992,16,34
1,1992,17,22
1,1992,18,24
1,1992,19,26
1,1992,20,25
1,1992,21,28
1,1992,22,40
1,1992,23,26
1,1992,24,24
1,1992,25,29
1,1992,26,34
1,1992,27,36
1,1992,28,40
1,1992,29,28
1,1992,30,32
1,1992,31,40
1,1992,32,29
1,1992,33,41
1,1992,34,59
1,1992,35,47
1,1992,36,54
1,1992,37,66
1,1992,38,54
1,1992,39,74
1,1992,40,62
1,1992,41,72
1,1992,42,59
1,1992,43,47
1,1992,44,50
1,1992,45,50
1,1992,46,33
1,1992,47,41
1,1992,48,48
1,1992,49,46
1,1992,50,42
1,1992,51,29
1,1992,52,27
1,1993,53,22
1,1993,1,35
1,1993,2,26
1,1993,3,28
1,1993,4,28
1,1993,5,33
1,1993,6,26
1,1993,7,15
1,1993,8,14
1,1993,9,20
1,1993,10,20
1,1993,11,12
1,1993,12,13
1,1993,13,14
1,1993,14,14
1,1993,15,12
1,1993,16,13
1,1993,17,18
1,1993,18,23
1,1993,19,17
1,1993,20,20
1,1993,21,35
1,1993,22,29
1,1993,23,50
1,1993,24,26
1,1993,25,31
1,1993,26,27
1,1993,27,25
1,1993,28,19
1,1993,29,25
1,1993,30,39
1,1993,31,21
1,1993,32,32
1,1993,33,28
1,1993,34,18
1,1993,35,30
1,1993,36,32
1,1993,37,29
1,1993,38,25
1,1993,39,27
1,1993,40,31
1,1993,41,29
1,1993,42,39
1,1993,43,38
1,1993,44,39
1,1993,45,40
1,1993,46,35
1,1993,47,46
1,1993,48,39
1,1993,49,35
1,1993,50,32
1,1993,51,26
1,1994,52,31
1,1994,1,25
1,1994,2,25
1,1994,3,29
1,1994,4,27
1,1994,5,33
1,1994,6,25
1,1994,7,30
1,1994,8,32
1,1994,9,29
1,1994,10,24
1,1994,11,19
1,1994,12,20
1,1994,13,25
1,1994,14,17
1,1994,15,20
1,1994,16,18
1,1994,17,17
1,1994,18,17
1,1994,19,24
1,1994,20,27
1,1994,21,28
1,1994,22,34
1,1994,23,31
1,1994,24,86
1,1994,25,36
1,1994,26,38
1,1994,27,52
1,1994,28,39
1,1994,29,51
1,1994,30,71
1,1994,31,75
1,1994,32,57
1,1994,33,68
1,1994,34,85
1,1994,35,127
1,1994,36,129
1,1994,37,202
1,1994,38,289
1,1994,39,352
1,1994,40,343
1,1994,41,417
1,1994,42,361
1,1994,43,303
